"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"103","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Cries",2,14:41:39,4,48060,0,0,"Left","none"
"104","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Cries",4,14:34:28,4,48057,0,0,"Left","none"
"105","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Alarm",2,14:38:22,4,48047,0,0,"Left","none"
"106","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Alarm",4,14:23:25,4,0,0,0,"Left","none"
"107","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Alarm",1,14:14:46,4,48047,0,0,"Right","none"
"108","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Cries",4,14:17:04,4,48048,0,0,"Right","none"
"109","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Alarm",4,14:21:56,4,0,0,0,"Right","none"
"110","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Cries",1,14:27:33,4,48056,0,0,"Right","none"
"111","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Alarm",2,14:30:38,4,48057,0,0,"Right","none"
"112","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Alarm",3,14:34:36,4,48056,0,0,"Right","none"
"113","MIGHTY TOPAZ SPARROW","Male",2,24,"Danish","No","No","No","1 MIGHTY TOPAZ SPARROW",1,"Cries",3,14:24:30,4,48048,0,0,"Right","none"
"114","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Alarm",1,11:47:39,2,24032,27572,3540,"Left","Left"
"115","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Alarm",2,11:49:54,3,36039,39214,3175,"Left","Left"
"116","NOBLE EBONY OYSTER","Female",2.2,25,"Other","No","No","No","1 NOBLE EBONY OYSTER",1,"Alarm",3,11:52:51,3,36048,41166,5118,"Left","Left"
